iter	Passed	Remaining
903	15645	1661
904	15661	1643
905	15680	1626
906	15705	1610
907	15725	1593
908	15740	1575
909	15755	1558
910	15769	1540
911	15784	1523
912	15799	1505
913	15814	1488
914	15827	1470
915	15841	1452
916	15856	1435
917	15871	1417
918	15887	1400
919	15902	1382
920	15922	1365
921	15937	1348
922	15952	1330
923	15971	1313
924	15987	1296
925	16006	1279
926	16025	1262
927	16042	1244
928	16060	1227
929	16075	1210
930	16093	1192
931	16126	1176
932	16155	1160
933	16178	1143
934	16203	1126
935	16224	1109
936	16251	1092
937	16277	1075
938	16300	1058
939	16315	1041
940	16334	1024
941	16350	1006
942	16375	989
943	16408	973
944	16424	955
945	16443	938
946	16460	921
947	16478	903
948	16496	886
949	16517	869
950	16534	851
951	16554	834
952	16571	817
953	16589	799
954	16605	782
955	16621	765
956	16636	747
957	16652	730
958	16667	712
959	16683	695
960	16700	677
961	16722	660
962	16742	643
963	16760	625
964	16776	608
965	16793	591
966	16809	573
967	16825	556
968	16842	538
969	16861	521
970	16877	504
971	16893	486
972	16909	469
973	16929	451
974	16946	434
975	16962	417
976	16978	399
977	16998	382
978	17015	364
979	17031	347
980	17045	330
981	17062	312
982	17084	295
983	17102	278
984	17127	260
985	17145	243
986	17161	226
987	17176	208
988	17190	191
989	17208	173
990	17225	156
991	17241	139
992	17257	121
993	17273	104
994	17289	86
995	17306	69
996	17323	52
997	17340	34
998	17355	17
999	17372	0
